Title,Release Date,Genre,Revenue,Budget
Promised Land,2012-12-28,Drama,15000000.0,8100000.0
R.I.P.D.,2013-07-19,Action,130000000.0,78300000.0
Race,2016-02-19,Drama,5000000.0,23500000.0
Raiders of the Lost Ark: The IMAX Experience,2012-09-07,Action,18000000.0,389900000.0
Rams,2015-05-15,Drama,1750000.0,1740000.0
Ratchet & Clank,2016-04-29,Sci-Fi,20000000.0,12800000.0
RED 2,2013-07-19,Action,84000000.0,148100000.0
Red Dawn,2012-11-21,Action,65000000.0,48100000.0
Red Tails,2012-01-20,Drama,58000000.0,50400000.0
Resident Evil: Retribution,2012-09-14,Action,65000000.0,240200000.0
Ricki and the Flash,2015-08-07,Comedy,18000000.0,41300000.0
Riddick,2013-09-06,Action,40000000.0,100300000.0
Ride Along,2014-01-17,Action,25000000.0,154500000.0
Ride Along 2,2016-01-15,Comedy,40000000.0,124200000.0
Rio 2,2014-03-20,Family,103000000.0,500100000.0
Rise of the Guardians,2012-11-21,Adventure,145000000.0,306900000.0
Risen,2016-02-19,Drama,20000000.0,46100000.0
RoboCop,2014-01-30,Action,100000000.0,242700000.0
Robot & Frank,2012-08-17,Comedy,2500000.0,4900000.0
Rock of Ages,2012-06-15,Musical,75000000.0,59400000.0
Rock the Kasbah,2015-10-22,Comedy,15000000.0,3400000.0
Romeo and Juliet,2013-07-26,Drama,15000000.0,3000000.0
Room,2015-09-04,Drama,13000000.0,36000000.0
Run All Night,2015-03-13,Action,61600000.0,71700000.0
"Runner, Runner",2013-09-27,Crime,30000000.0,30000000.0
Rush,2013-09-20,Action,38000000.0,90200000.0
Sabotage,2014-03-19,Action,35000000.0,17500000.0
Safe House,2012-02-10,Action,85000000.0,208100000.0
Salmon Fishing in the Yemen,2012-03-09,Drama,14400000.0,34600000.0
Savages,2012-07-06,Crime,45000000.0,83000000.0
Scary Movie 5,2013-04-12,Comedy,20000000.0,78400000.0
Secret in Their Eyes,2015-11-20,Crime,19500000.0,32200000.0
Self/less,2015-07-10,Drama,26000000.0,30500000.0
Selma,2014-12-25,Drama,20000000.0,66800000.0
Seventh Son,2014-12-17,Fantasy,95000000.0,114200000.0
Shaun the Sheep Movie,2015-01-24,Adventure,25000000.0,106000000.0
Sicario,2015-05-19,Crime,30000000.0,84900000.0
Side Effects,2013-02-08,Crime,30000000.0,66700000.0
Silent Hill: Revelation 3D,2012-10-26,Horror,20000000.0,52300000.0
Silver Linings Playbook,2012-11-16,Drama,21000000.0,236400000.0
Sin City: A Dame to Kill For,2014-08-19,Crime,65000000.0,39400000.0
Sinister,2012-10-12,Horror,3000000.0,77700000.0
Sinister 2,2015-08-21,Horror,10000000.0,52900000.0
Sisters,2015-12-18,Comedy,30000000.0,105000000.0
Snitch,2013-02-22,Action,15000000.0,57800000.0
Snow White and the Huntsman,2012-06-01,Action,170000000.0,396600000.0
Son of God,2014-02-28,Drama,22000000.0,67800000.0
Son of Saul,2015-05-15,Drama,1500000.0,6200000.0
Southpaw,2015-06-15,Drama,30000000.0,92000000.0
Spotlight,2015-09-03,Drama,20000000.0,88300000.0
Spy,2015-05-15,Action,65000000.0,235700000.0
St. Vincent,2014-09-05,Comedy,13000000.0,54800000.0
Stand by Me Doraemon,2014-08-08,Animation,35000000.0,196400000.0
Star Trek Beyond,2016-07-22,Action,185000000.0,243000000.0
Step Up: All In,2014-08-08,Drama,45000000.0,86200000.0
Steve Jobs,2015-09-05,Biography,30000000.0,34400000.0
Straight Outta Compton,2015-08-11,Biography,50000000.0,201600000.0
Suffragette,2015-09-04,Drama,14000000.0,32000000.0
Suicide Squad,2016-08-05,Action,175000000.0,636700000.0
Taken 2,2012-10-05,Action,43000000.0,376100000.0
Tammy,2014-07-02,Comedy,20000000.0,100500000.0
Ted,2012-06-29,Comedy,51000000.0,549400000.0
Ted 2,2015-06-24,Comedy,68000000.0,216700000.0
Teenage Mutant Ninja Turtles,2014-07-29,Action,125000000.0,493300000.0
Teenage Mutant Ninja Turtles: Out of the Shadows,2016-05-22,Action,135000000.0,242500000.0
Terminator Genisys,2015-06-22,Sci-Fi,155000000.0,440600000.0
Texas Chainsaw 3D,2013-01-04,Horror,20000000.0,47200000.0
That Awkward Moment,2014-01-27,Comedy,8000000.0,40500000.0
The 33,2015-08-06,Drama,26000000.0,24900000.0
The 5th Wave,2016-01-22,Sci-Fi,35000000.0,110700000.0
The Age of Adaline,2015-04-24,Romance,25000000.0,65700000.0
The Amazing Spider-Man,2012-07-03,Action,230000000.0,757900000.0
The Angry Birds Movie,2016-05-05,Comedy,73000000.0,346900000.0
The Best Exotic Marigold Hotel ₪,2012-05-04,Comedy,10000000.0,136800000.0
The Big Short,2015-12-11,Biography,28000000.0,133300000.0
The Bling Ring,2013-06-14,Comedy,8000000.0,19100000.0
The Book of Life,2014-10-12,Family,50000000.0,99800000.0
The Boss,2016-04-08,Comedy,29000000.0,78600000.0
The Bourne Legacy,2012-08-10,Action,125000000.0,276100000.0
The Boxtrolls,2014-08-31,Family,60000000.0,109300000.0
The Boy,2016-01-22,Horror,10000000.0,64200000.0
The Butler,2013-08-16,Drama,30000000.0,176600000.0
The Cabin in the Woods,2012-04-13,Horror,30000000.0,66500000.0
The Call,2013-03-15,Mystery,13000000.0,68600000.0
The Campaign,2012-08-10,Comedy,95000000.0,104900000.0
The Cold Light of Day,2012-09-07,Action,20000000.0,16900000.0
The Collection,2012-11-30,Horror,10000000.0,8900000.0
The Conjuring,2013-07-19,Thriller,20000000.0,318000000.0
The Conjuring 2,2016-06-07,Horror,40000000.0,319500000.0
The Croods,2013-03-22,Adventure,135000000.0,587200000.0
The Danish Girl,2015-09-05,Drama,15000000.0,64200000.0
The Darkness,2016-05-13,Horror,4000000.0,10900000.0
The Devil Inside,2012-01-06,Horror,1000000.0,101800000.0
The Dictator,2012-05-16,Comedy,65000000.0,179400000.0
The Divergent Series: Allegiant,2016-03-18,Adventure,110000000.0,179200000.0
The Divergent Series: Insurgent,2015-03-19,Sci-Fi,110000000.0,297300000.0
The Drop,2014-09-12,Drama,12600000.0,18700000.0
